ck_id	county	duchy	kingdom_1066	empire_1066	search_query	match_status	top_qid	top_label	top_description	candidate_qids	candidate_labels	candidate_urls	notes
c_bresse	Bresse	Upper Burgundy	Burgundy	Francia	Bresse	exact_label	Q37475789	Bresse	family name	Q37475789; Q1434171; Q819875; Q910335; Q60169708	Bresse; Bresse-sur-Grosne; La Bresse; Bresse; Bresse Vallons	http://www.wikidata.org/entity/Q37475789; http://www.wikidata.org/entity/Q1434171; http://www.wikidata.org/entity/Q819875; http://www.wikidata.org/entity/Q910335; http://www.wikidata.org/entity/Q60169708	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_brie_francaise	Brie Française	Valois	France	Francia	Brie Française	fuzzy_label	Q914050	Brie	natural region in France	Q914050	Brie	http://www.wikidata.org/entity/Q914050	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_briey	Briey	Bar	Lotharingia	Holy Roman Empire	Briey	exact_label	Q215053	Briey	former commune in Meurthe-et-Moselle, France	Q215053; Q43267892; Q43290451; Q123141583; Q55827981	Briey; Brieya; Brieya latipetala; Brieya fasciculata; Brieya fasciculatum	http://www.wikidata.org/entity/Q215053; http://www.wikidata.org/entity/Q43267892; http://www.wikidata.org/entity/Q43290451; http://www.wikidata.org/entity/Q123141583; http://www.wikidata.org/entity/Q55827981	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_brixen	Brixen	Tyrol	Bavaria	Holy Roman Empire	Brixen	exact_label	Q185541	Brixen	commune in South Tyrol, Italy	Q185541; Q50332892; Q51885230; Q34401901; Q871609	Brixen; Brixen; Brixen; Brixentes (Pauly-Wissowa); Brixen im Thale	http://www.wikidata.org/entity/Q185541; http://www.wikidata.org/entity/Q50332892; http://www.wikidata.org/entity/Q51885230; http://www.wikidata.org/entity/Q34401901; http://www.wikidata.org/entity/Q871609	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_brno	Brno	Moravia	Bohemia	Holy Roman Empire	Brno	exact_label	Q14960	Brno	city in the Czech Republic	Q14960; Q11342506; Q192697; Q12039338; Q222686	Brno; Brno; South Moravian Region; Brno-město; Masaryk Circuit	http://www.wikidata.org/entity/Q14960; http://www.wikidata.org/entity/Q11342506; http://www.wikidata.org/entity/Q192697; http://www.wikidata.org/entity/Q12039338; http://www.wikidata.org/entity/Q222686	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_brugge	Brugge	Flanders	France	Francia	Brugge	fuzzy_label	Q12994	Bruges	city in West Flanders, Belgium	Q12994; Q37155872; Q26736444; Q163693; Q21492721	Bruges; Brugge; Brügge; Brüggen; Brugger	http://www.wikidata.org/entity/Q12994; http://www.wikidata.org/entity/Q37155872; http://www.wikidata.org/entity/Q26736444; http://www.wikidata.org/entity/Q163693; http://www.wikidata.org/entity/Q21492721	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_brecknockshire	Brycheiniog	Deheubarth	Wales	Britannia	Brycheiniog	fuzzy_label	Q954585	Kingdom of Brycheiniog	small kingdom in mid Wales	Q954585; Q4980737; Q547052; Q4960088; Q133539756	Kingdom of Brycheiniog; Brycheiniog; Brecknockshire; Brecon and Radnorshire; Brycheiniog Tawe Nedd	http://www.wikidata.org/entity/Q954585; http://www.wikidata.org/entity/Q4980737; http://www.wikidata.org/entity/Q547052; http://www.wikidata.org/entity/Q4960088; http://www.wikidata.org/entity/Q133539756	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_brysis	Brysis	Thrace	Thessalonika	Byzantine Empire	Brysis	exact_label	Q995331	Brysis		Q995331; Q65962090	Brysis; Brysis Coleman	http://www.wikidata.org/entity/Q995331; http://www.wikidata.org/entity/Q65962090	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_brzeg	Brzeg	Opolania	Poland	West-Slavia	Brzeg	exact_label	Q214640	Brzeg	city in Opole Voivodeship in southwestern Poland	Q214640; Q461205; Q4981209; Q8305807; Q4981202	Brzeg; Brzeg County; Brzegi; Brzegi Górne; Brzeg	http://www.wikidata.org/entity/Q214640; http://www.wikidata.org/entity/Q461205; http://www.wikidata.org/entity/Q4981209; http://www.wikidata.org/entity/Q8305807; http://www.wikidata.org/entity/Q4981202	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_buchan	Buchan	Moray	Scotland	Britannia	Buchan	exact_label	Q16860612	Buchan	family name	Q16860612; Q4982529; Q17361624; Q15616677; Q55000000	Buchan; Buchan; Buchan; Buchanan; Buchananius	http://www.wikidata.org/entity/Q16860612; http://www.wikidata.org/entity/Q4982529; http://www.wikidata.org/entity/Q17361624; http://www.wikidata.org/entity/Q15616677; http://www.wikidata.org/entity/Q55000000	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
