ck_id	county	duchy	kingdom_1066	empire_1066	search_query	match_status	top_qid	top_label	top_description	candidate_qids	candidate_labels	candidate_urls	notes
c_beloozero	Beloozero	Vepsia	Novgorod	Russia	Beloozero	fuzzy_label	Q104764	Belozersk	town in Russia	Q104764; Q1967380; Q435154; Q1059356; Q4082452	Belozersk; Principality of Beloozero; Genealogy of Princes of Beloozero; Beloozyorovka; Prince of Beloozero	http://www.wikidata.org/entity/Q104764; http://www.wikidata.org/entity/Q1967380; http://www.wikidata.org/entity/Q435154; http://www.wikidata.org/entity/Q1059356; http://www.wikidata.org/entity/Q4082452	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_belz	Belz	Cherven Cities	Galicia-Volhynia	West-Slavia	Belz	exact_label	Q62856	Belz	commune in Morbihan, France	Q62856; Q37188648; Q37801; Q156565; Q816313	Belz; Belz; Bălți; Belz; Belz	http://www.wikidata.org/entity/Q62856; http://www.wikidata.org/entity/Q37188648; http://www.wikidata.org/entity/Q37801; http://www.wikidata.org/entity/Q156565; http://www.wikidata.org/entity/Q816313	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_benavente	Benavente	León	León	Hispania	Benavente	exact_label	Q571140	Benavente	municipality in Ribatejo, Portugal	Q571140; Q16479627; Q1998321; Q24002621; Q951778	Benavente; Benavente; Benavente; Benavente; Benavente	http://www.wikidata.org/entity/Q571140; http://www.wikidata.org/entity/Q16479627; http://www.wikidata.org/entity/Q1998321; http://www.wikidata.org/entity/Q24002621; http://www.wikidata.org/entity/Q951778	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_benevento	Benevento	Benevento	Sicily	Byzantine Empire	Benevento	exact_label	Q13437	Benevento	Italian comune	Q13437; Q37185936; Q16134; Q652516; Q20988114	Benevento; Benevento; Province of Benevento; Benevento Calcio; Benevento	http://www.wikidata.org/entity/Q13437; http://www.wikidata.org/entity/Q37185936; http://www.wikidata.org/entity/Q16134; http://www.wikidata.org/entity/Q652516; http://www.wikidata.org/entity/Q20988114	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_beograd	Beograd	Mačva	Serbia	Byzantine Empire	Beograd	fuzzy_label	Q3711	Belgrade	capital of Serbia	Q3711; Q1566873; Q240631; Q140353; Q818585	Belgrade; Yugoslav destroyer Beograd; University of Belgrade; 1517 Beograd; Beogradski Sindikat	http://www.wikidata.org/entity/Q3711; http://www.wikidata.org/entity/Q1566873; http://www.wikidata.org/entity/Q240631; http://www.wikidata.org/entity/Q140353; http://www.wikidata.org/entity/Q818585	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_berchtesgaden	Berchtesgaden	Salzburg	Bavaria	Holy Roman Empire	Berchtesgaden	exact_label	Q278221	Berchtesgaden	market municipality of Germany	Q278221; Q31910292; Q1517485; Q702489; Q317811	Berchtesgaden; Berchtesgaden; Berchtesgaden; Berchtesgaden National Park; Berchtesgadener Hochthron	http://www.wikidata.org/entity/Q278221; http://www.wikidata.org/entity/Q31910292; http://www.wikidata.org/entity/Q1517485; http://www.wikidata.org/entity/Q702489; http://www.wikidata.org/entity/Q317811	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_bereg	Bereg	Transcarpathia	Hungary	Carpathia	Bereg	exact_label	Q11960613	Bereg	fictional character from J.R.R. Tolkien's legendarium	Q11960613; Q4084182; Q21718753; Q2896990; Q4084176	Bereg; Bereg; Bereg; Bereg; Bereg	http://www.wikidata.org/entity/Q11960613; http://www.wikidata.org/entity/Q4084182; http://www.wikidata.org/entity/Q21718753; http://www.wikidata.org/entity/Q2896990; http://www.wikidata.org/entity/Q4084176	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_berestye	Berestye	Volhynia	Galicia-Volhynia	West-Slavia	Berestye	fuzzy_label	Q2499504	Berestye Archeological Museum	archaeological museum in Belarus	Q2499504; Q793362; Q793373	Berestye Archeological Museum; Breștea; Brieštie	http://www.wikidata.org/entity/Q2499504; http://www.wikidata.org/entity/Q793362; http://www.wikidata.org/entity/Q793373	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_bergh	Berg	Lower Lotharingia	Lotharingia	Holy Roman Empire	Berg	exact_label	Q12785738	Berg	family name	Q12785738; Q216117; Q67318; Q26793; Q681063	Berg; Berg; Berg; Bergen; Berg (Pfalz)	http://www.wikidata.org/entity/Q12785738; http://www.wikidata.org/entity/Q216117; http://www.wikidata.org/entity/Q67318; http://www.wikidata.org/entity/Q26793; http://www.wikidata.org/entity/Q681063	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_berkshire	Berkshire	Hwicce	England	Britannia	Berkshire	exact_label	Q67284726	Berkshire	historic county of England, United Kingdom	Q67284726; Q820960; Q37232540; Q23220; Q217583	Berkshire; Berkshire; Berkshire; Berkshire; Berkshire Hathaway	http://www.wikidata.org/entity/Q67284726; http://www.wikidata.org/entity/Q820960; http://www.wikidata.org/entity/Q37232540; http://www.wikidata.org/entity/Q23220; http://www.wikidata.org/entity/Q217583	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
