ck_id	county	duchy	kingdom_1066	empire_1066	search_query	match_status	top_qid	top_label	top_description	candidate_qids	candidate_labels	candidate_urls	notes
c_eschenlohe	Eschenlohe	Bavaria	Bavaria	Holy Roman Empire	Eschenlohe	exact_label	Q176219	Eschenlohe	municipality of Germany	Q176219; Q31999248; Q59142078; Q133443254; Q3662160	Eschenlohe; Eschenlohe; Eschenlohe station; Eschenlohe; Eschenlohe Castle	http://www.wikidata.org/entity/Q176219; http://www.wikidata.org/entity/Q31999248; http://www.wikidata.org/entity/Q59142078; http://www.wikidata.org/entity/Q133443254; http://www.wikidata.org/entity/Q3662160	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_essex	Essex	Essex	England	Britannia	Essex	exact_label	Q67442940	Essex	historic county of England	Q67442940; Q2282019; Q16869856; Q23240; Q21272241	Essex; Essex; Essex; Essex; Essex	http://www.wikidata.org/entity/Q67442940; http://www.wikidata.org/entity/Q2282019; http://www.wikidata.org/entity/Q16869856; http://www.wikidata.org/entity/Q23240; http://www.wikidata.org/entity/Q21272241	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_esztergom	Esztergom	Visegrad	Hungary	Carpathia	Esztergom	exact_label	Q171353	Esztergom	city in Hungary	Q171353; Q509653; Q19960780; Q772030; Q991832	Esztergom; Esztergom District; Esztergom railway station; Esztergom County; Esztergom Basilica	http://www.wikidata.org/entity/Q171353; http://www.wikidata.org/entity/Q509653; http://www.wikidata.org/entity/Q19960780; http://www.wikidata.org/entity/Q772030; http://www.wikidata.org/entity/Q991832	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_eu	Eu	Normandy	France	Francia	Eu	fuzzy_label	Q8752	Basque	language of the Basque people	Q8752; Q458; Q5412157; Q30; Q211593	Basque; European Union; Europe PubMed Central; United States; Eu	http://www.wikidata.org/entity/Q8752; http://www.wikidata.org/entity/Q458; http://www.wikidata.org/entity/Q5412157; http://www.wikidata.org/entity/Q30; http://www.wikidata.org/entity/Q211593	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_euboea	Euboea	Athens	Hellas	Byzantine Empire	Euboea	exact_label	Q173096	Euboea	Greek island	Q173096; Q670126; Q136161; Q1372109; Q1372112	Euboea; Euboea regional unit; 1119 Euboea; Euboea; Euboea	http://www.wikidata.org/entity/Q173096; http://www.wikidata.org/entity/Q670126; http://www.wikidata.org/entity/Q136161; http://www.wikidata.org/entity/Q1372109; http://www.wikidata.org/entity/Q1372112	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_euchaita	Euchaita	Armeniac	Pontus	Byzantine Empire	Euchaita	exact_label	Q383825	Euchaita	ancient town in modern Turkey	Q383825; Q109304383; Q935414; Q57498676	Euchaita; Euchaïta (Pauly-Wissowa); Euchaitae titular see; Euchaïta	http://www.wikidata.org/entity/Q383825; http://www.wikidata.org/entity/Q109304383; http://www.wikidata.org/entity/Q935414; http://www.wikidata.org/entity/Q57498676	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_beja	Évora	Beja	Badajoz	Hispania	Évora	exact_label	Q179948	Évora	municipality in Portugal	Q179948; Q3349362; Q18469458; Q274118; Q37095090	Évora; Évora; União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão); Évora; Evora	http://www.wikidata.org/entity/Q179948; http://www.wikidata.org/entity/Q3349362; http://www.wikidata.org/entity/Q18469458; http://www.wikidata.org/entity/Q274118; http://www.wikidata.org/entity/Q37095090	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_evreux	Évreux	Normandy	France	Francia	Évreux	exact_label	Q171800	Évreux	commune in Eure, France	Q171800; Q2918846; Q3592915; Q3592913; Q2886452	Évreux; Évreux Cathedral; Évreux FC 27; Évreux Volley-ball; Évreux-Fauville Air Base	http://www.wikidata.org/entity/Q171800; http://www.wikidata.org/entity/Q2918846; http://www.wikidata.org/entity/Q3592915; http://www.wikidata.org/entity/Q3592913; http://www.wikidata.org/entity/Q2886452	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_eystridalir	Eystridalir	Upplönd	Norway	Scandinavia	Eystridalir	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_faereyar	Færeyjar	Northern Isles	Norway	Scandinavia	Færeyjar	fuzzy_label	Q4628	Faroe Islands	North Atlantic archipelago organized as an autonomous constituent country of the Kingdom of Denmark	Q4628	Faroe Islands	http://www.wikidata.org/entity/Q4628	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_falkenstein	Falkenstein	Bavaria	Bavaria	Holy Roman Empire	Falkenstein	exact_label	Q521215	Falkenstein	municipality of Bavaria, Germany	Q521215; Q1394284; Q46863; Q31547469; Q1394285	Falkenstein; Falkenstein; Falkenstein; Falkenstein; Falkensteinmauer	http://www.wikidata.org/entity/Q521215; http://www.wikidata.org/entity/Q1394284; http://www.wikidata.org/entity/Q46863; http://www.wikidata.org/entity/Q31547469; http://www.wikidata.org/entity/Q1394285	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_famagusta	Famagusta	Cyprus	Cyprus	Byzantine Empire	Famagusta	exact_label	Q193190	Famagusta	city in northern Cyprus	Q193190; Q59148; Q112041664; Q56118759; Q23857789	Famagusta; Famagusta District; Titular see of Famagusta; Famagusta Municipality; Famagusta	http://www.wikidata.org/entity/Q193190; http://www.wikidata.org/entity/Q59148; http://www.wikidata.org/entity/Q112041664; http://www.wikidata.org/entity/Q56118759; http://www.wikidata.org/entity/Q23857789	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_faro	Faro	Algarve	Badajoz	Hispania	Faro	exact_label	Q159457	Faro	municipality in Portugal	Q159457; Q63384606; Q9258075; Q244521; Q18468188	Faro; Faro; Faro; Faro; Faro (Sé e São Pedro)	http://www.wikidata.org/entity/Q159457; http://www.wikidata.org/entity/Q63384606; http://www.wikidata.org/entity/Q9258075; http://www.wikidata.org/entity/Q244521; http://www.wikidata.org/entity/Q18468188	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_feher	Fehér	Transylvania	Hungary	Carpathia	Fehér	exact_label	Q290348	Fehér	family name	Q290348; Q37461860; Q23444; Q326811; Q55437732	Fehér; Feher; white; Fehérvár FC; Feher	http://www.wikidata.org/entity/Q290348; http://www.wikidata.org/entity/Q37461860; http://www.wikidata.org/entity/Q23444; http://www.wikidata.org/entity/Q326811; http://www.wikidata.org/entity/Q55437732	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_sir_faesyfed	Ferlix	Powys	Wales	Britannia	Ferlix	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_fermo	Fermo	Ancona	Romagna	Italia	Fermo	exact_label	Q13139	Fermo	Italian comune	Q13139; Q54897445; Q37230556; Q141605; Q16167	Fermo; Fermo; Fermo; Fermont; Province of Fermo	http://www.wikidata.org/entity/Q13139; http://www.wikidata.org/entity/Q54897445; http://www.wikidata.org/entity/Q37230556; http://www.wikidata.org/entity/Q141605; http://www.wikidata.org/entity/Q16167	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_ferrara	Ferrara	Romagna	Romagna	Italia	Ferrara	exact_label	Q13362	Ferrara	comune in Emilia-Romagna, Italy	Q13362; Q16869929; Q364713; Q16168; Q3969599	Ferrara; Ferrara; Sergio Ferrara; Province of Ferrara; Ferrara railway station	http://www.wikidata.org/entity/Q13362; http://www.wikidata.org/entity/Q16869929; http://www.wikidata.org/entity/Q364713; http://www.wikidata.org/entity/Q16168; http://www.wikidata.org/entity/Q3969599	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_fife	Fife	Albany	Scotland	Britannia	Fife	exact_label	Q201149	Fife	council area of Scotland, UK	Q201149; Q67479974; Q20895162; Q1510211; Q42584	Fife; Fife; Fife; Fife; Fédération Internationale Féline	http://www.wikidata.org/entity/Q201149; http://www.wikidata.org/entity/Q67479974; http://www.wikidata.org/entity/Q20895162; http://www.wikidata.org/entity/Q1510211; http://www.wikidata.org/entity/Q42584	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
