ck_id	county	duchy	kingdom_1066	empire_1066	search_query	match_status	top_qid	top_label	top_description	candidate_qids	candidate_labels	candidate_urls	notes
c_finland	Finland	Finland	Finland	Scandinavia	Finland	exact_label	Q33	Finland	country in Northern Europe	Q33; Q62633; Q2983474; Q499029; Q5450446	Finland; Grand Duchy of Finland; Finnish National Gallery; Social Democratic Party of Finland; Finland	http://www.wikidata.org/entity/Q33; http://www.wikidata.org/entity/Q62633; http://www.wikidata.org/entity/Q2983474; http://www.wikidata.org/entity/Q499029; http://www.wikidata.org/entity/Q5450446	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_finnveden	Finnveden	Småland	Sweden	Scandinavia	Finnveden	exact_label	Q1796200	Finnveden	historic region of Småland, Sweden	Q1796200; Q89791726; Q106580974; Q89194188; Q89194251	Finnveden; Finnvedens gymnasium; Finnveden AB; Finnvedens Gymnasium 3; Finnvedens Gymnasium 1	http://www.wikidata.org/entity/Q1796200; http://www.wikidata.org/entity/Q89791726; http://www.wikidata.org/entity/Q106580974; http://www.wikidata.org/entity/Q89194188; http://www.wikidata.org/entity/Q89194251	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_firdafylki	Firðafylki	Þrændalög	Norway	Scandinavia	Firðafylki	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_firenze	Firenze	Tuscany	Italy	Italia	Firenze	fuzzy_label	Q2044	Florence	Italian city and commune, located in Tuscany	Q2044; Q37012777; Q16172; Q707731; Q3296719	Florence; Firenze; Province of Florence; Florence Peretola Airport; Firenze	http://www.wikidata.org/entity/Q2044; http://www.wikidata.org/entity/Q37012777; http://www.wikidata.org/entity/Q16172; http://www.wikidata.org/entity/Q707731; http://www.wikidata.org/entity/Q3296719	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_fogaras	Fogaras	Transylvania	Hungary	Carpathia	Fogaras	fuzzy_label	Q685869	Făgăraș	city in Brașov County, Romania	Q685869; Q1002414; Q107219186; Q96608089; Q120599615	Făgăraș; Fogaras County; Fogaraș; Fogarasi; Fogarasy	http://www.wikidata.org/entity/Q685869; http://www.wikidata.org/entity/Q1002414; http://www.wikidata.org/entity/Q107219186; http://www.wikidata.org/entity/Q96608089; http://www.wikidata.org/entity/Q120599615	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_foggia	Foggia	Benevento	Sicily	Byzantine Empire	Foggia	exact_label	Q13464	Foggia	Italian comune	Q13464; Q37466911; Q15129; Q139399; Q1431308	Foggia; Foggia; Province of Foggia; Calcio Foggia 1920; Foggia "Gino Lisa" Airport	http://www.wikidata.org/entity/Q13464; http://www.wikidata.org/entity/Q37466911; http://www.wikidata.org/entity/Q15129; http://www.wikidata.org/entity/Q139399; http://www.wikidata.org/entity/Q1431308	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_foix	Foix	Languedoc	France	Francia	Foix	exact_label	Q184392	Foix	commune in Ariège, France	Q184392; Q18127840; Q574493; Q37534192; Q13465	Foix; House of Foix; Foix; Foix; Foixà	http://www.wikidata.org/entity/Q184392; http://www.wikidata.org/entity/Q18127840; http://www.wikidata.org/entity/Q574493; http://www.wikidata.org/entity/Q37534192; http://www.wikidata.org/entity/Q13465	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_forcalquier	Forcalquier	Provence	Burgundy	Francia	Forcalquier	exact_label	Q104431	Forcalquier	commune in Alpes-de-Haute-Provence, France	Q104431; Q23498533; Q2991610; Q282593; Q1725314	Forcalquier; 181702 Forcalquier; Forcalquier Cathedral; arrondissement of Forcalquier; canton of Forcalquier	http://www.wikidata.org/entity/Q104431; http://www.wikidata.org/entity/Q23498533; http://www.wikidata.org/entity/Q2991610; http://www.wikidata.org/entity/Q282593; http://www.wikidata.org/entity/Q1725314	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_forez	Forez	Viennois	Burgundy	Francia	Forez	exact_label	Q1437284	Forez	former province of France	Q1437284; Q54978183; Q81685; Q3078718; Q3078720	Forez; FOREZ; François Mauriac; Forézan; Forezien	http://www.wikidata.org/entity/Q1437284; http://www.wikidata.org/entity/Q54978183; http://www.wikidata.org/entity/Q81685; http://www.wikidata.org/entity/Q3078718; http://www.wikidata.org/entity/Q3078720	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_fraga	Fraga	Aragon	Aragon	Hispania	Fraga	fuzzy_label	Q13158	strawberry	hybrid species in the rose family	Q13158; Q745; Q24013376; Q146684; Q904212	strawberry; Fragaria; Fraga; Fragaria vesca; Fraga	http://www.wikidata.org/entity/Q13158; http://www.wikidata.org/entity/Q745; http://www.wikidata.org/entity/Q24013376; http://www.wikidata.org/entity/Q146684; http://www.wikidata.org/entity/Q904212	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
