ck_id	county	duchy	kingdom_1066	empire_1066	search_query	match_status	top_qid	top_label	top_description	candidate_qids	candidate_labels	candidate_urls	notes
c_arad	Arad	Temes	Hungary	Carpathia	Arad	exact_label	Q173591	Arad	city in Arad County, Romania	Q173591; Q2583788; Q179559; Q152473; Q4783637	Arad; Aradidae; Arad County; Arad; Aradus	http://www.wikidata.org/entity/Q173591; http://www.wikidata.org/entity/Q2583788; http://www.wikidata.org/entity/Q179559; http://www.wikidata.org/entity/Q152473; http://www.wikidata.org/entity/Q4783637	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_arbanon	Arbanon	Dyrrachion	Epirus	Byzantine Empire	Arbanon	fuzzy_label	Q2454379	Principality of Arbanon	Albanian principality (1190-1255)	Q2454379	Principality of Arbanon	http://www.wikidata.org/entity/Q2454379	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_arborea	Arborea	Sardinia	Sardinia	Italia	Arborea	exact_label	Q382568	Arborea	Italian comune	Q382568; Q117336533; Q122763336; Q116910283; Q12078927	Arborea; Arborea; Arborea; Arbórea; Arborea	http://www.wikidata.org/entity/Q382568; http://www.wikidata.org/entity/Q117336533; http://www.wikidata.org/entity/Q122763336; http://www.wikidata.org/entity/Q116910283; http://www.wikidata.org/entity/Q12078927	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_arezzo	Arezzo	Tuscany	Italy	Italia	Arezzo	exact_label	Q13378	Arezzo	Italian comune	Q13378; Q297430; Q16115; Q47458898; Q18456217	Arezzo; S.S. Arezzo; Province of Arezzo; Arezzo; Arezzo	http://www.wikidata.org/entity/Q13378; http://www.wikidata.org/entity/Q297430; http://www.wikidata.org/entity/Q16115; http://www.wikidata.org/entity/Q47458898; http://www.wikidata.org/entity/Q18456217	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_argyll	Argyll	Isles	Scotland	Britannia	Argyll	exact_label	Q652539	Argyll	historic shire of western Scotland; heartland of the ancient kingdom of Dál Riata, encompassing Knapdale, Kintyre, and the Inner Hebrides	Q652539; Q59847356; Q202174; Q122232715; Q1264472	Argyll; Argyll; Argyll and Bute; Argyll; Duke of Argyll	http://www.wikidata.org/entity/Q652539; http://www.wikidata.org/entity/Q59847356; http://www.wikidata.org/entity/Q202174; http://www.wikidata.org/entity/Q122232715; http://www.wikidata.org/entity/Q1264472	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_armagnac	Armagnac	Armagnac	France	Francia	Armagnac	exact_label	Q104921761	Armagnac	family name	Q104921761; Q503252; Q676745; Q301905; Q848024	Armagnac; Armagnac; Armagnac; Armagnac; SNCASE SE.2010 Armagnac	http://www.wikidata.org/entity/Q104921761; http://www.wikidata.org/entity/Q503252; http://www.wikidata.org/entity/Q676745; http://www.wikidata.org/entity/Q301905; http://www.wikidata.org/entity/Q848024	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_arnhem	Arnheim	Gelre	Frisia	Holy Roman Empire	Arnheim	fuzzy_label	Q1310	Arnhem	city, municipality and capital of province Gelderland, the Netherlands	Q1310; Q693532; Q16161685; Q110293863; Q110293864	Arnhem; Arnheim; Arnheim; Arnheim; Arnheim	http://www.wikidata.org/entity/Q1310; http://www.wikidata.org/entity/Q693532; http://www.wikidata.org/entity/Q16161685; http://www.wikidata.org/entity/Q110293863; http://www.wikidata.org/entity/Q110293864	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_arnsberg	Arnsberg	Lower Lotharingia	Lotharingia	Holy Roman Empire	Arnsberg	exact_label	Q3912	Arnsberg	town in North Rhine-Westphalia, Germany	Q3912; Q697336; Q99906033; Q7924; Q697345	Arnsberg; Arnsberg; Arnsberg; Arnsberg Government Region; Arnsberg	http://www.wikidata.org/entity/Q3912; http://www.wikidata.org/entity/Q697336; http://www.wikidata.org/entity/Q99906033; http://www.wikidata.org/entity/Q7924; http://www.wikidata.org/entity/Q697345	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_astorga	Astorga	Galicia	Galicia	Hispania	Astorga	exact_label	Q36996229	Astorga	family name	Q36996229; Q24003020; Q465078; Q2007427; Q718064	Astorga; Astorga; Astorga; Astorga; Emanuele d'Astorga	http://www.wikidata.org/entity/Q36996229; http://www.wikidata.org/entity/Q24003020; http://www.wikidata.org/entity/Q465078; http://www.wikidata.org/entity/Q2007427; http://www.wikidata.org/entity/Q718064	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_asturias_de_oviedo	Asturias de Oviedo	Asturias	León	Hispania	Asturias de Oviedo	exact_label	Q3323403	Asturias de Oviedo	historical comarca in the Kingdom of Asturias	Q3323403	Asturias de Oviedo	http://www.wikidata.org/entity/Q3323403	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_asturias_de_santillana	Asturias de Santillana	Cantabria	Castile	Hispania	Asturias de Santillana	exact_label	Q3330011	Asturias de Santillana		Q3330011	Asturias de Santillana	http://www.wikidata.org/entity/Q3330011	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_athlone	Athlone	Meath	Ireland	Britannia	Athlone	exact_label	Q369911	Athlone	town in County Westmeath, Ireland	Q369911; Q112659070; Q4815602; Q4815604; Q4815600	Athlone; Athlone; Athlone; Athlone; Athlone	http://www.wikidata.org/entity/Q369911; http://www.wikidata.org/entity/Q112659070; http://www.wikidata.org/entity/Q4815602; http://www.wikidata.org/entity/Q4815604; http://www.wikidata.org/entity/Q4815600	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_atholl	Atholl	Albany	Scotland	Britannia	Atholl	exact_label	Q331254	Atholl	historical division in the Scottish Highlands	Q331254; Q91344385; Q755682; Q27959796; Q4815651	Atholl; Atholl; Atholl; Atholl; Atholl Fleming	http://www.wikidata.org/entity/Q331254; http://www.wikidata.org/entity/Q91344385; http://www.wikidata.org/entity/Q755682; http://www.wikidata.org/entity/Q27959796; http://www.wikidata.org/entity/Q4815651	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_attica	Attica	Athens	Hellas	Byzantine Empire	Attica	exact_label	Q122443	Attica	historical region of Greece, including the city of Athens	Q122443; Q758056; Q12874191; Q12876834; Q107289313	Attica; Attica Region; Attica; Attica; Attica	http://www.wikidata.org/entity/Q122443; http://www.wikidata.org/entity/Q758056; http://www.wikidata.org/entity/Q12874191; http://www.wikidata.org/entity/Q12876834; http://www.wikidata.org/entity/Q107289313	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_augsburg	Augsburg	Augsburg	Bavaria	Holy Roman Empire	Augsburg	exact_label	Q2749	Augsburg	city in Bavaria, Germany	Q2749; Q760516; Q50332861; Q15755; Q760513	Augsburg; Augsburg University; Augsburg; FC Augsburg; Augsburg	http://www.wikidata.org/entity/Q2749; http://www.wikidata.org/entity/Q760516; http://www.wikidata.org/entity/Q50332861; http://www.wikidata.org/entity/Q15755; http://www.wikidata.org/entity/Q760513	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_aunis	Aunis	Aquitaine	France	Francia	Aunis	exact_label	Q773756	Aunis	former province of France	Q773756; Q63242341; Q2871813; Q45133761; Q125709102	Aunis; Aunis; Aunis Handball La Rochelle-Périgny; AUNIS; Aunis	http://www.wikidata.org/entity/Q773756; http://www.wikidata.org/entity/Q63242341; http://www.wikidata.org/entity/Q2871813; http://www.wikidata.org/entity/Q45133761; http://www.wikidata.org/entity/Q125709102	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_nedenes	Austr Agðir	Egðafylki	Norway	Scandinavia	Austr Agðir	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_austisland	Austrland	Iceland	Norway	Scandinavia	Austrland	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
