ck_id	county	duchy	kingdom_1066	empire_1066	search_query	match_status	top_qid	top_label	top_description	candidate_qids	candidate_labels	candidate_urls	notes
c_groningen	Groningen	Utrecht	Frisia	Holy Roman Empire	Groningen	exact_label	Q749	Groningen	capital city of the province of Groningen, the Netherlands	Q749; Q892526; Q752; Q17937; Q850730	Groningen; Groningen; Groningen; Groningen railway station; University of Groningen	http://www.wikidata.org/entity/Q749; http://www.wikidata.org/entity/Q892526; http://www.wikidata.org/entity/Q752; http://www.wikidata.org/entity/Q17937; http://www.wikidata.org/entity/Q850730	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_grunberg	Grunberg	Silesia	Poland	West-Slavia	Grunberg	fuzzy_label	Q104720	Zielona Góra	City with powiat rights of Poland	Q104720; Q16870339; Q15301484; Q522469; Q107093107	Zielona Góra; Grünberg; Karl Grünberg; Grünberg; Grünberg	http://www.wikidata.org/entity/Q104720; http://www.wikidata.org/entity/Q16870339; http://www.wikidata.org/entity/Q15301484; http://www.wikidata.org/entity/Q522469; http://www.wikidata.org/entity/Q107093107	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_grunningen	Grünningen	Swabia	East Francia	Holy Roman Empire	Grünningen	fuzzy_label	Q108074103	Grunningen	protected area in Norway	Q108074103; Q108716147	Grunningen; Grunningen, Bjørnøya	http://www.wikidata.org/entity/Q108074103; http://www.wikidata.org/entity/Q108716147	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_gudbrandsdalir	Guðbrandsdalir	Upplönd	Norway	Scandinavia	Guðbrandsdalir	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_guelders	Guelders	Gelre	Frisia	Holy Roman Empire	Guelders	fuzzy_label	Q775	Gelderland	province of the Netherlands	Q775; Q26470411; Q572291; Q152420; Q95412	Gelderland; Guelders; Guelders Wars; Duchy of Guelders; Mechtild of Guelders	http://www.wikidata.org/entity/Q775; http://www.wikidata.org/entity/Q26470411; http://www.wikidata.org/entity/Q572291; http://www.wikidata.org/entity/Q152420; http://www.wikidata.org/entity/Q95412	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_guines	Guînes	Flanders	France	Francia	Guînes	exact_label	Q325999	Guînes	commune in Pas-de-Calais, France	Q325999; Q270297; Q12891385; Q23795410; Q12891333	Guînes; Güines; Güines; Güines; Guines	http://www.wikidata.org/entity/Q325999; http://www.wikidata.org/entity/Q270297; http://www.wikidata.org/entity/Q12891385; http://www.wikidata.org/entity/Q23795410; http://www.wikidata.org/entity/Q12891333	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_guria	Guria	Abkhazia	Georgia	Byzantine Empire	Guria	exact_label	Q19038	Guria	region (mkhare) of Georgia	Q19038; Q60789781; Q60652722; Q37243630; Q16367739	Guria; Guria; Guria; Gurian; Guria	http://www.wikidata.org/entity/Q19038; http://www.wikidata.org/entity/Q60789781; http://www.wikidata.org/entity/Q60652722; http://www.wikidata.org/entity/Q37243630; http://www.wikidata.org/entity/Q16367739	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_monmouthshire	Gwent	Deheubarth	Wales	Britannia	Gwent	exact_label	Q1376956	Gwent	preserved county and former local government county in south-east Wales, United Kingdom	Q1376956; Q129402922; Q24591290; Q56178073; Q935290	Gwent; Gwent; Gwent: The Witcher Card Game; Gwent County Council; University of Wales, Newport	http://www.wikidata.org/entity/Q1376956; http://www.wikidata.org/entity/Q129402922; http://www.wikidata.org/entity/Q24591290; http://www.wikidata.org/entity/Q56178073; http://www.wikidata.org/entity/Q935290	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_gyor	Gyor	Gyor	Hungary	Carpathia	Gyor	fuzzy_label	Q134494	Győr	city in Győr-Moson-Sopron County, Hungary	Q134494; Q942625; Q112232764; Q64855966; Q20478352	Győr; György; György Vesztergombi; György Bencze; György Buzsáki	http://www.wikidata.org/entity/Q134494; http://www.wikidata.org/entity/Q942625; http://www.wikidata.org/entity/Q112232764; http://www.wikidata.org/entity/Q64855966; http://www.wikidata.org/entity/Q20478352	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_hadrianeia	Hadrianeia	Thracesia	Nikaea	Byzantine Empire	Hadrianeia	exact_label	Q1567556	Hadrianeia	ancient city in Mysia	Q1567556; Q125308700	Hadrianeia; Hadrianeia 2 (Pauly-Wissowa)	http://www.wikidata.org/entity/Q1567556; http://www.wikidata.org/entity/Q125308700	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_hadrianopolis	Hadrianopolis	Bucellaria	Nikaea	Byzantine Empire	Hadrianopolis	fuzzy_label	Q43387	Edirne	central district and city in Edirne Province, Turkey	Q43387; Q11904208; Q11904209; Q260316; Q65044019	Edirne; Hadrianopolis; Hadrianopolis; Hadrianopolis in Honoriade; Hadrianopolis	http://www.wikidata.org/entity/Q43387; http://www.wikidata.org/entity/Q11904208; http://www.wikidata.org/entity/Q11904209; http://www.wikidata.org/entity/Q260316; http://www.wikidata.org/entity/Q65044019	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_hainaut	Hainaut	Brabant	Lotharingia	Holy Roman Empire	Hainaut	exact_label	Q3125766	Hainaut	traditional county in Belgium and France	Q3125766; Q1129; Q23900572; Q124708094; Q28162016	Hainaut; Hainaut; Electoral District Hainaut; Hainaut; Hainaut	http://www.wikidata.org/entity/Q3125766; http://www.wikidata.org/entity/Q1129; http://www.wikidata.org/entity/Q23900572; http://www.wikidata.org/entity/Q124708094; http://www.wikidata.org/entity/Q28162016	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
