ck_id	county	duchy	kingdom_1066	empire_1066	search_query	match_status	top_qid	top_label	top_description	candidate_qids	candidate_labels	candidate_urls	notes
c_knittelfeld	Knittelfeld	Carinthia	Bavaria	Holy Roman Empire	Knittelfeld	exact_label	Q494621	Knittelfeld	municipality in Murtal District, Styria, Austria	Q494621; Q111171383; Q32064986; Q134380756; Q672614	Knittelfeld; Knittelfeld railway station; Knittelfeld; Knittelfeld; Knittelfeld District	http://www.wikidata.org/entity/Q494621; http://www.wikidata.org/entity/Q111171383; http://www.wikidata.org/entity/Q32064986; http://www.wikidata.org/entity/Q134380756; http://www.wikidata.org/entity/Q672614	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_koblenz	Koblenz	Lower Lotharingia	Lotharingia	Holy Roman Empire	Koblenz	exact_label	Q3104	Koblenz	German city on the banks of the Rhine and of the Moselle	Q3104; Q69441; Q1008318; Q1304391; Q160513	Koblenz; Koblenz AG; Koblenz; Koblenz-Arenberg; Koblenz	http://www.wikidata.org/entity/Q3104; http://www.wikidata.org/entity/Q69441; http://www.wikidata.org/entity/Q1008318; http://www.wikidata.org/entity/Q1304391; http://www.wikidata.org/entity/Q160513	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_kokenois	Kokenois	Latgalia	Lithuania	Baltic Empire	Kokenois	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_cammin	Kołobrzeg	Pomerania	Pomerania	Baltic Empire	Kołobrzeg	exact_label	Q110011	Kołobrzeg	city and urban gmina of Poland	Q110011; Q557449; Q1340605; Q11309665; Q2190715	Kołobrzeg; Gmina Kołobrzeg; Kołobrzeg County; Kołobrzeg Lighthouse; Kołobrzeg Stadion	http://www.wikidata.org/entity/Q110011; http://www.wikidata.org/entity/Q557449; http://www.wikidata.org/entity/Q1340605; http://www.wikidata.org/entity/Q11309665; http://www.wikidata.org/entity/Q2190715	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_kolon	Kolon	Somogy	Hungary	Carpathia	Kolon	fuzzy_label	Q1072	heart	inner organ for the circulation of blood	Q1072; Q365; Q7646305; Q4196765; Q5982337	heart; Cologne; Surinam; Kolono; colon	http://www.wikidata.org/entity/Q1072; http://www.wikidata.org/entity/Q365; http://www.wikidata.org/entity/Q7646305; http://www.wikidata.org/entity/Q4196765; http://www.wikidata.org/entity/Q5982337	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_komarom	Komárom	Visegrad	Hungary	Carpathia	Komárom	fuzzy_label	Q210796	Komárno	town in Slovakia	Q210796; Q625154; Q190018; Q106403462; Q602662	Komárno; Komárom; Komárom-Esztergom County; Komáromi; Komárom District	http://www.wikidata.org/entity/Q210796; http://www.wikidata.org/entity/Q625154; http://www.wikidata.org/entity/Q190018; http://www.wikidata.org/entity/Q106403462; http://www.wikidata.org/entity/Q602662	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_kontupohja	Kontupohja	Karelia	Finland	Scandinavia	Kontupohja	fuzzy_label	Q155108	Kondopoga	human settlement in Republic of Karelia, Russia	Q155108; Q1036102; Q1968815; Q4230527	Kondopoga; Kondopozhsky District; 2006 ethnic tensions in Kondopoga; OAO Kondopoga	http://www.wikidata.org/entity/Q155108; http://www.wikidata.org/entity/Q1036102; http://www.wikidata.org/entity/Q1968815; http://www.wikidata.org/entity/Q4230527	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_korinthos	Korinthos	Achaia	Hellas	Byzantine Empire	Korinthos	fuzzy_label	Q103011	Corinth	seaside city in Peloponnese, Greece	Q103011; Q1363688; Q153743; Q108595529; Q108595527	Corinth; Ancient Corinth; 4357 Korinthos; Korinthos 1 (Pauly-Wissowa); Korinthos 3 (Pauly-Wissowa)	http://www.wikidata.org/entity/Q103011; http://www.wikidata.org/entity/Q1363688; http://www.wikidata.org/entity/Q153743; http://www.wikidata.org/entity/Q108595529; http://www.wikidata.org/entity/Q108595527	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_korosten	Korosten	Turov	Ruthenia	Russia	Korosten	exact_label	Q158904	Korosten	city in Ukraine	Q158904; Q125449670; Q601121; Q12113206; Q103820532	Korosten; Korosten; Korosten Raion; Korosten; Korosten urban hromada	http://www.wikidata.org/entity/Q158904; http://www.wikidata.org/entity/Q125449670; http://www.wikidata.org/entity/Q601121; http://www.wikidata.org/entity/Q12113206; http://www.wikidata.org/entity/Q103820532	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_korsun	Korsun	Kyiv	Ruthenia	Russia	Korsun	fuzzy_label	Q13133528	Korsuń	village in Drahičyn district, Belarus	Q13133528; Q638445; Q20663781; Q219766; Q4234364	Korsuń; Chersonesus; Korsuń; Korsun-Shevchenkivskyi; Korsun	http://www.wikidata.org/entity/Q13133528; http://www.wikidata.org/entity/Q638445; http://www.wikidata.org/entity/Q20663781; http://www.wikidata.org/entity/Q219766; http://www.wikidata.org/entity/Q4234364	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
