ck_id	county	duchy	kingdom_1066	empire_1066	search_query	match_status	top_qid	top_label	top_description	candidate_qids	candidate_labels	candidate_urls	notes
c_inari	Inari	Giemajohka	Sápmi	Scandinavia	Inari	exact_label	Q755702	Inari	municipality in the region of Lapland in Finland	Q755702; Q18760763; Q25343216; Q203137; Q126694678	Inari; Inari; Inari; Lake Inari; INARI	http://www.wikidata.org/entity/Q755702; http://www.wikidata.org/entity/Q18760763; http://www.wikidata.org/entity/Q25343216; http://www.wikidata.org/entity/Q203137; http://www.wikidata.org/entity/Q126694678	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_ingolstadt	Ingolstadt	Bavaria	Bavaria	Holy Roman Empire	Ingolstadt	exact_label	Q3004	Ingolstadt	city in Bavaria, Germany	Q3004; Q27349799; Q564788; Q1008291; Q1530065	Ingolstadt; Ingolstadt Südost; Ingolstadt Central Station; Ingolstadt; Ingolstadt Mitte	http://www.wikidata.org/entity/Q3004; http://www.wikidata.org/entity/Q27349799; http://www.wikidata.org/entity/Q564788; http://www.wikidata.org/entity/Q1008291; http://www.wikidata.org/entity/Q1530065	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_inner_hebrides	Inner Hebrides	Isles	Scotland	Britannia	Inner Hebrides	exact_label	Q81052	Inner Hebrides	archipelago off the west coast of mainland Scotland	Q81052; Q6035437; Q139803822	Inner Hebrides; Inner Hebrides Group; Inner Hebrides and the Minches	http://www.wikidata.org/entity/Q81052; http://www.wikidata.org/entity/Q6035437; http://www.wikidata.org/entity/Q139803822	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_innsbruck	Innsbruck	Tyrol	Bavaria	Holy Roman Empire	Innsbruck	exact_label	Q1735	Innsbruck	capital of the state of Tyrol, Austria	Q1735; Q18412690; Q125821834; Q9651; Q9636	Innsbruck; Innsbruck; Innsbruck; 1976 Winter Olympics; 1964 Winter Olympics	http://www.wikidata.org/entity/Q1735; http://www.wikidata.org/entity/Q18412690; http://www.wikidata.org/entity/Q125821834; http://www.wikidata.org/entity/Q9651; http://www.wikidata.org/entity/Q9636	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_inverness	Inverness	Moray	Scotland	Britannia	Inverness	exact_label	Q160493	Inverness	city in the Highlands of Scotland, United Kingdom	Q160493; Q743247; Q749228; Q3153881; Q1247390	Inverness; Inverness; Inverness; Inverness; Inverness-shire	http://www.wikidata.org/entity/Q160493; http://www.wikidata.org/entity/Q743247; http://www.wikidata.org/entity/Q749228; http://www.wikidata.org/entity/Q3153881; http://www.wikidata.org/entity/Q1247390	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_ionia	Ionia	Ephesos	Nikaea	Byzantine Empire	Ionia	exact_label	Q620874	Ionia	historic region in western Asia Minor (modern-day Turkey)	Q620874; Q2469271; Q119480708; Q134884651; Q122312229	Ionia; Ionia; Ionia; Ionia; Ionia	http://www.wikidata.org/entity/Q620874; http://www.wikidata.org/entity/Q2469271; http://www.wikidata.org/entity/Q119480708; http://www.wikidata.org/entity/Q134884651; http://www.wikidata.org/entity/Q122312229	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_ipuskoa	Ipuskoa	Viscaya	Navarra	Hispania	Ipuskoa	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_isauria	Isauria	Anatolia	Anatolia	Byzantine Empire	Isauria	exact_label	Q6079031	Isauria	genus of insects	Q6079031; Q914218; Q6079037; Q1165543; Q13369347	Isauria; Isauria; Isauria dilucidella; Isaurian dynasty; Isauria rubricantella	http://www.wikidata.org/entity/Q6079031; http://www.wikidata.org/entity/Q914218; http://www.wikidata.org/entity/Q6079037; http://www.wikidata.org/entity/Q1165543; http://www.wikidata.org/entity/Q13369347	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_ile_de_france	Isle de France	Valois	France	Francia	Isle de France	exact_label	Q12060804	Isle de France	former name for Mauritius and surrounding colonies	Q12060804; Q55418158; Q63243298; Q2656389; Q16628193	Isle de France; Isle de France; Isle-de-France; Mauritius Island; Isle-de-France Creole	http://www.wikidata.org/entity/Q12060804; http://www.wikidata.org/entity/Q55418158; http://www.wikidata.org/entity/Q63243298; http://www.wikidata.org/entity/Q2656389; http://www.wikidata.org/entity/Q16628193	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_isle_of_man	Isle of Man	Mann	Scotland	Britannia	Isle of Man	exact_label	Q9676	Isle of Man	historic nation and a self-governing British Crown dependency	Q9676; Q22458825; Q27508141; Q3285099; Q22458817	Isle of Man; Isle of Man; Isle of Man; Man Island; Isle of Man	http://www.wikidata.org/entity/Q9676; http://www.wikidata.org/entity/Q22458825; http://www.wikidata.org/entity/Q27508141; http://www.wikidata.org/entity/Q3285099; http://www.wikidata.org/entity/Q22458817	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_issoudun	Issoudun	Berry	France	Francia	Issoudun	exact_label	Q210772	Issoudun	commune in Indre, France	Q210772; Q113067994; Q1079054; Q115099901; Q2875392	Issoudun; Issoudun; Issoudun-Létrieix; Issoudun; Issoudun Le Fay Airport	http://www.wikidata.org/entity/Q210772; http://www.wikidata.org/entity/Q113067994; http://www.wikidata.org/entity/Q1079054; http://www.wikidata.org/entity/Q115099901; http://www.wikidata.org/entity/Q2875392	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_andujar	Jaén	Cordoba	Andalusia	Hispania	Jaén	exact_label	Q15681	Jaén	municipality in Spain	Q15681; Q48981839; Q30871; Q95025; Q37446378	Jaén; Jaén; Jaen; Jaén Province; Jaen	http://www.wikidata.org/entity/Q15681; http://www.wikidata.org/entity/Q48981839; http://www.wikidata.org/entity/Q30871; http://www.wikidata.org/entity/Q95025; http://www.wikidata.org/entity/Q37446378	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_jahkamakke	Jåhkåmåhkke	Åarjetje	Sápmi	Scandinavia	Jåhkåmåhkke	no_result							Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_jaligny	Jaligny	Bourbon	France	Francia	Jaligny	fuzzy_label	Q325549	Jaligny-sur-Besbre	commune in Allier, France	Q325549; Q1547691; Q2969414; Q49354857; Q49462919	Jaligny-sur-Besbre; canton of Jaligny-sur-Besbre; Château de Jaligny-sur-Besbre; Jaligny-sur-Besbre; Jaligny-sur-Besbre (munisipyo)	http://www.wikidata.org/entity/Q325549; http://www.wikidata.org/entity/Q1547691; http://www.wikidata.org/entity/Q2969414; http://www.wikidata.org/entity/Q49354857; http://www.wikidata.org/entity/Q49462919	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_jamtfir	Jamtaland	Jamtaland	Norway	Scandinavia	Jamtaland	fuzzy_label	Q211661	Jämtland	historical province in Sweden	Q211661; Q103679	Jämtland; Jämtland County	http://www.wikidata.org/entity/Q211661; http://www.wikidata.org/entity/Q103679	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
c_jersika	Jersika	Latgalia	Lithuania	Baltic Empire	Jersika	exact_label	Q2025603	Jersika	village in Latvia	Q2025603; Q3801020; Q1687929; Q4176812; Q58483259	Jersika; Jersika Parish; Principality of Jersika; Jersika Station; Jersikas iela	http://www.wikidata.org/entity/Q2025603; http://www.wikidata.org/entity/Q3801020; http://www.wikidata.org/entity/Q1687929; http://www.wikidata.org/entity/Q4176812; http://www.wikidata.org/entity/Q58483259	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
