review_status	review_disposition	candidate_parent_id	candidate_parent_name	current_parent_id	current_parent_name	expected_parent_rank	child_count	high	medium	low	span_range	evidence_needed	review_note	child_ids	child_names	skip_fact_ids	bridge_fact_ids
pending_review	not_inferred	title-q27306	Kingdom of Prussia	title-q150981	North German Confederation	Kingdom	6	6	0	0	1867..1870	child_to_candidate_parentage_source	same-parent bridge overlap is a lead, not evidence	title-q155570,title-q158445,title-q161215,title-q16550783,title-q326029,title-q693669	Duchy of Anhalt; Duchy of Brunswick; Grand Duchy of Mecklenburg-Schwerin; Grand Duchy of Mecklenburg-Strelitz; Grand Duchy of Oldenburg; Saxe-Weimar-Eisenach	fact-q155570-parent-q150981,fact-q158445-parent-q150981,fact-q161215-parent-q150981,fact-q16550783-parent-q150981,fact-q326029-parent-q150981,fact-q693669-parent-q150981	fact-q27306-parent-q150981
pending_review	not_inferred	title-q42585	Kingdom of Bohemia	title-q28513	Austria-Hungary	Kingdom	4	4	0	0	1867..1918	child_to_candidate_parentage_source	same-parent bridge overlap is a lead, not evidence	title-q2360973,title-q2670751,title-q661340,title-q699964	Archduchy of Austria; Duchy of Carniola; Duchy of Salzburg; Margraviate of Moravia	fact-q2360973-parent-q28513,fact-q2670751-parent-q28513,fact-q661340-parent-q28513,fact-q699964-parent-q28513	fact-q42585-parent-q28513
pending_review	not_inferred	title-q171348	Crown of the Kingdom of Poland	title-q172107	Polish-Lithuanian Commonwealth	Kingdom	4	0	4	0	1569..1795	child_to_candidate_parentage_source	same-parent bridge overlap is a lead, not evidence	title-q1352878,title-q156038,title-q49683,title-q825902	Duchy of Courland and Semigallia; Duchy of Livonia; Grand Duchy of Lithuania; Polish-Lithuanian union	fact-q1352878-parent-q172107,fact-q156038-parent-q172107,fact-q49683-parent-q172107,fact-q825902-parent-q172107	fact-q171348-parent-q172107
pending_review	not_inferred	title-q154741	Confederation of the Rhine	title-q71084	First French Empire	Crown	3	0	0	3	1804..1814	child_to_candidate_parentage_source	same-parent bridge overlap is a lead, not evidence	title-q212278,title-q223793,title-q223936	Kingdom of Etruria; Kingdom of Holland; Kingdom of Italy	fact-q212278-parent-q71084,fact-q223793-parent-q71084,fact-q223936-parent-q71084	fact-q154741-parent-q71084
pending_review	not_inferred	title-q153943	Kingdom of Westphalia	title-q154741	Confederation of the Rhine	Kingdom	3	0	3	0	1806..1813	child_to_candidate_parentage_source	same-parent bridge overlap is a lead, not evidence	title-q249428,title-q698089,title-q704312	Grand Duchy of Berg; Grand Duchy of Frankfurt; Grand Duchy of Wurzburg	fact-q249428-parent-q154741,fact-q698089-parent-q154741,fact-q704312-parent-q154741	fact-q153943-parent-q154741
